,overall,Review
0,5,love pens sparkle delightfully brilliantly coloured even without darker colours bleed thin paper however
1,5,works well mostly cones
2,5,great assortment colors though there lot pinks mix still most colors covered all spools probably not going problem finding works project will probably buy assortment future most
3,5,just
4,5,400 birds hospital each month
5,1,not very sharp
6,5,just replacement blade
7,5,great value
8,3,just okay plastic bit too thick texture texture get clear image say stars daughter painted when lifted paint not well defined stars just kinda smudged looked awful maybe issue surface not completely flat mixed media project top already layer paper so us will not purchasing more due thickness plastic texture
9,5,always happy when find great priced art gift kids loved
10,1,only received fabric suppose receive more
11,5,favorite red favorite pasttimes doodling like products smash folios fun way help us doodle capture moment thought inspiration forward filling yet another volumes journals doodle red
12,3,good marking light colored fabric line little too fine tastes requiring bit scribbling get decent visible line wish visible dark fabric well
13,3,fasteners work fine spring little weak side plastic bumps hold together bit small also bag without spring pusher
14,5,love all needles
15,5,basic sewing top quality
16,4,gift someone new zealand children home know liked
17,5,great products will well zippers priced reasonably several projects
18,2,spools cuts both sides now matter side thread gets caught broken 5 needles spool alone
19,5,awesome display
20,1,fell apart soon tried thread needle
21,5,really great very happy
22,3,prepared everywhere partly curly twigs come almost glued together process prying apart lose lot still turned cute though
23,5,really nice light pad wanted something could put away lot outdated ones available local art stores huge lot space lights rightly evenly surface dimmable slider touch sensitive can power light pad older usb mah power bank around great value market light highly recommend getting
24,5,great gifting complete set beginners love arts highly recommend
25,5,beautiful fabric will buy more highly recommend
26,5,great
27,5,more can say loyalty everything family country friends military
28,5,outstanding received several colors very pleased company products
29,3,think mine may old when receiced
30,5,cuts like dream takes hours each project love blade pops safe hold becuase blade sharp careful get habit closing putting avoid any nicks deep cuts
31,5,great last really any trouble contact paper now only cheaper very tedious job resort
32,5,just project
33,5,good
34,5,excellent travel brushes good price really like positive definite safety aspect lots older competing designs only friction hold protective handle extension friction insufficient handle fell tuft unit so keep squeezing hollow handle diameter annoying thee other competitors neglect hole end hollow handle intended facilitate drying all 1503 various sizes hole more than satisfied buy da vinci
35,5,great drawing pad just finished 3 manuscripts publisher adult coloring books pad draw most art loved
36,5,very good excelent products
37,5,like so much 3 more packages nice sturdy elegant perfect sprinkle there display case
38,4,love fit well smaller hands not uncomfortable noisy metal ones variety sizes amazing would prefer came couple larger sizes like 11 13 15 sweaters instead 1 2 3 anything small stitches
39,5,best organization beads
40,1,horrible yarn inconsistent skein skein will relatively soft okay work next will much thicker rougher will cause gauge inconsistent rougher texture will also uncomfortable work there good reason yarn cheaper than others go better yarn will enjoy working project much more end result will far superior
41,5,like way better pins
42,5,perfect
43,5,love containers easy open secure shipped quickly holds perfect amount sequins love extra lid keep everything locked place
44,5,keeping sew happy
45,5,great
46,5,great price amount all pins seemed sturdy not damaged any way would
47,4,perfect works like dream however cant punch more few papers time
49,5,nice able pick increments
50,1,very poor quality very yellowed not all like normal quality pocket pages know stored heat light bad
51,5,nice gift art student
52,3,okay
53,5,makes life so easy like individual bobbin spaces so loose threads tangle each other
54,4,agree another reviewer stinks like mothballs eyes water hope door goes away
55,4,very sturdy art project kid large enough hold popular adult coloring books
56,5,good headpins gauge ideal wire wrapping
57,5,good job well built good price sw
58,5,lovely ribbon strong versatile too
59,3,like looks packaging taped top bottom partially both sides looks like lipstick back thinking returning just paid new looks scraping
60,5,love great necklaces tie together scrapbook gift hubby
61,5,very easy nice sharp advertised
62,5,like quality cord great projects
63,5,inks so much fun can get beautiful results can highly recommend
64,5,ink quality great very little ink things
65,5,few days ago wife pointed fact no less than nine coffee cans canning jars filled brushes work area not count massive number stashed various boxes drawers why would want more brushes well thing past 40 plus years never ending search perfect brush hey just like paint brushes else can say tell set reviewed absolutely impressive far superior many brushes own paid well embarrassed tell forked years examining cleaning reusing simply can not find anything complain major complaint always concerning brushes artificial material difficult load enough paint not case equal almost all natural fiber brushes area brushes extremely well durable taken proper care cleaned well properly there no reason will not last years handles beautifully balanced long simply feel good hand paint brush very personal either connection not fell instantly love things simply feel right so right beginning description provided seller absolutely also must say extremely impressed life time guarantee something seldom see art brushes when found no loss bristles any odd bristle hanging very very minor trimming very end flat end brushes normal process never owned brush not just quirky no reflection quality brush brushes strictly acrylic completely different set water years although see any problem water colors so desired there case things come folks tell truthfully normally could care less brushes come brushes cans jars wooden boxes working outside case though admit impressed mean really impressed case so nice dread getting eventually smudged paint fate anything comes near pain all nice things other reviewers said case absolutely correct case rather amazing own finally must say stunned cost brushes case included truly great value don blankenship ozarks
66,5,exactly meant solid copper rivets mini anvil works like charm help tutorial http said very straightforward easy ergonomic setting many rivets setter hurt hands fingers all
67,5,works great
68,5,ca wait play
69,5,nice set great personalising leather all there well will often future
70,5,great mark almost all surfaces
71,5,wow
72,5,set replacement same worn nub perfect last long time retain beautifully enhance every project
73,5,liked ease applicator like pads pad leave lint behind tiles no matter when pat tile when dry tile many inconsistancies surface started sea sponge instead works much better leaves no residue change surface tile
74,5,co worker sick set get well gift love lot
75,4,great now only understood how understood part figuring great service excellent got quick will business
76,5,love clay figurines
77,5,very interesting took chance buying online worried would more brown than dark reddish dark burgundy virginia tech throw step dad worked perfectly super easy work highly recommend yarn
78,5,so pleased foot just like magic makes agrat pin tuck without fuss measuring pressing
79,5,contents 8 pro art pro graphite pencils hb f all point 3 pro art charcoal pencils all blunted tips 1 pro art pro sketching stick 6b sharpened 2 pro art charcoal sticks rectangular shaped soft medium 1 plastic metal pencil sharpener pencils 1 plastic metal pencil sharpener charcoal pencils 1 pro art white plastic eraser 1 pro art gray kneaded eraser comes packed plastic clamshell package handle back package insert shows samples lines each pencils pencils taiwan not contain rain forest wood package could reclosed keep set together
80,5,3rd love big brush pens write anything
81,5,good stuff
82,5,arrived promptly exactly advertised
83,5,hace never crushed walnut shells fill pincushion love organic nature provide good weight great customer service
84,5,just described
85,5,love stuff
86,5,will cute blanket good quality nice combo
87,3,pretty beads cheap planning adult jewelry
88,5,work really well great adding bit dimension projects makes secure adhesion too
89,5,very good
90,5,very pretty die
